"","ADR","species","tag","month","year","tissue","stage","conc","method","biomass_kg","season","increment","wood"
"313","1125","ACRU","102","January",2014,"stem","1cm",65.9,"total",69.1,"winter","0-1","diff"
"314","1126","ACRU","102","January",2014,"stem","2cm",56.8,"total",64,"winter","1-2","diff"
"315","1127","ACRU","103","January",2014,"stem","1cm",45,"total",36.6,"winter","0-1","diff"
"316","1128","ACRU","103","January",2014,"stem","2cm",65.6,"total",32.3,"winter","1-2","diff"
"317","1129","ACRU","105","January",2014,"stem","1cm",44.9,"total",43.3,"winter","0-1","diff"
"318","1130","ACRU","105","January",2014,"stem","2cm",49.3,"total",38.8,"winter","1-2","diff"
"319","1131","ACRU","112","January",2014,"stem","1cm",48.6,"total",52.8,"winter","0-1","diff"
"320","1132","ACRU","112","January",2014,"stem","2cm",46.4,"total",48,"winter","1-2","diff"
"321","1133","ACRU","120","January",2014,"stem","1cm",41.1,"total",55.2,"winter","0-1","diff"
"322","1134","ACRU","120","January",2014,"stem","2cm",57,"total",50.4,"winter","1-2","diff"
"323","1135","ACRU","124","January",2014,"stem","1cm",39.1,"total",45.7,"winter","0-1","diff"
"324","1136","ACRU","124","January",2014,"stem","2cm",31.3,"total",41.1,"winter","1-2","diff"
"325","1137","BEPA","106","January",2014,"stem","1cm",21.7,"total",37.7,"winter","0-1","diff"
"326","1138","BEPA","106","January",2014,"stem","2cm",19.4,"total",33.4,"winter","1-2","diff"
"327","1139","BEPA","110","January",2014,"stem","1cm",23.2,"total",71.7,"winter","0-1","diff"
"328","1140","BEPA","110","January",2014,"stem","2cm",28.5,"total",66.5,"winter","1-2","diff"
"329","1141","BEPA","113","January",2014,"stem","1cm",26.2,"total",46.8,"winter","0-1","diff"
"330","1142","BEPA","113","January",2014,"stem","2cm",35.2,"total",42.2,"winter","1-2","diff"
"361","1173","ACRU","102","July",2014,"stem","1cm",27.9,"total",69.1,"summer","0-1","diff"
"362","1174","ACRU","102","July",2014,"stem","2cm",39.6,"total",64,"summer","1-2","diff"
"363","1175","ACRU","103","July",2014,"stem","1cm",18.1,"total",36.6,"summer","0-1","diff"
"364","1176","ACRU","103","July",2014,"stem","2cm",9.2,"total",32.3,"summer","1-2","diff"
"365","1177","ACRU","105","July",2014,"stem","1cm",16.3,"total",43.3,"summer","0-1","diff"
"366","1178","ACRU","105","July",2014,"stem","2cm",11.8,"total",38.8,"summer","1-2","diff"
"367","1179","ACRU","112","July",2014,"stem","1cm",18.4,"total",52.8,"summer","0-1","diff"
"368","1180","ACRU","112","July",2014,"stem","2cm",12.4,"total",48,"summer","1-2","diff"
"369","1181","ACRU","120","July",2014,"stem","1cm",19.5,"total",55.2,"summer","0-1","diff"
"370","1182","ACRU","120","July",2014,"stem","2cm",40.1,"total",50.4,"summer","1-2","diff"
"371","1183","ACRU","124","July",2014,"stem","1cm",23.4,"total",45.7,"summer","0-1","diff"
"372","1184","ACRU","124","July",2014,"stem","2cm",12.3,"total",41.1,"summer","1-2","diff"
"373","1185","BEPA","106","July",2014,"stem","1cm",20.2,"total",37.7,"summer","0-1","diff"
"374","1186","BEPA","106","July",2014,"stem","2cm",7.5,"total",33.4,"summer","1-2","diff"
"375","1187","BEPA","110","July",2014,"stem","1cm",9,"total",71.7,"summer","0-1","diff"
"376","1188","BEPA","110","July",2014,"stem","2cm",18.2,"total",66.5,"summer","1-2","diff"
"377","1189","BEPA","113","July",2014,"stem","1cm",9.2,"total",46.8,"summer","0-1","diff"
"378","1190","BEPA","113","July",2014,"stem","2cm",9.1,"total",42.2,"summer","1-2","diff"
"493","1358","ACRU","102","June",2014,"stem","3cm",40.7,"total",58.9,"summer","2-3","diff"
"494","1359","ACRU","103","June",2014,"stem","3cm",19.3,"total",28.1,"summer","2-3","diff"
"495","1360","ACRU","105","June",2014,"stem","3cm",24.3,"total",34.4,"summer","2-3","diff"
"496","1361","ACRU","112","June",2014,"stem","3cm",10.5,"total",43.3,"summer","2-3","diff"
"497","1362","ACRU","120","June",2014,"stem","3cm",23.7,"total",45.7,"summer","2-3","diff"
"498","1363","ACRU","124","June",2014,"stem","3cm",17,"total",36.6,"summer","2-3","diff"
"499","1364","BEPA","106","June",2014,"stem","3cm",9.1,"total",29.2,"summer","2-3","diff"
"500","1365","BEPA","110","June",2014,"stem","3cm",14.3,"total",61.4,"summer","2-3","diff"
"501","1366","BEPA","113","June",2014,"stem","3cm",9.5,"total",37.7,"summer","2-3","diff"
"541","1406","ACRU","102","June",2014,"stem","4cm",43.4,"total",54,"summer","3-4","diff"
"542","1407","ACRU","103","June",2014,"stem","4cm",34.6,"total",24.1,"summer","3-4","diff"
"543","1408","ACRU","105","June",2014,"stem","4cm",33.9,"total",30.2,"summer","3-4","diff"
"544","1409","ACRU","112","June",2014,"stem","4cm",21.9,"total",38.8,"summer","3-4","diff"
"545","1410","ACRU","120","June",2014,"stem","4cm",20.3,"total",41.1,"summer","3-4","diff"
"546","1411","ACRU","124","June",2014,"stem","4cm",24.6,"total",32.3,"summer","3-4","diff"
"547","1412","BEPA","106","June",2014,"stem","4cm",29.5,"total",25.1,"summer","3-4","diff"
"548","1413","BEPA","110","June",2014,"stem","4cm",28.9,"total",56.4,"summer","3-4","diff"
"549","1414","BEPA","113","June",2014,"stem","4cm",17.1,"total",33.4,"summer","3-4","diff"
"649","1602","ACRU","102","June",2014,"stem","1cm",27.8,"total",69.1,"summer","0-1","diff"
"650","1603","ACRU","102","June",2014,"stem","2cm",37.2,"total",64,"summer","1-2","diff"
"651","1604","ACRU","103","June",2014,"stem","1cm",19.7,"total",36.6,"summer","0-1","diff"
"652","1605","ACRU","103","June",2014,"stem","2cm",19.3,"total",32.3,"summer","1-2","diff"
"653","1606","ACRU","105","June",2014,"stem","1cm",19.7,"total",43.3,"summer","0-1","diff"
"654","1607","ACRU","105","June",2014,"stem","2cm",13,"total",38.8,"summer","1-2","diff"
"655","1608","ACRU","112","June",2014,"stem","1cm",23.8,"total",52.8,"summer","0-1","diff"
"656","1609","ACRU","112","June",2014,"stem","2cm",13.7,"total",48,"summer","1-2","diff"
"657","1610","ACRU","120","June",2014,"stem","1cm",24.3,"total",55.2,"summer","0-1","diff"
"658","1611","ACRU","120","June",2014,"stem","2cm",24.3,"total",50.4,"summer","1-2","diff"
"659","1612","ACRU","124","June",2014,"stem","1cm",23.1,"total",45.7,"summer","0-1","diff"
"660","1613","ACRU","124","June",2014,"stem","2cm",19.6,"total",41.1,"summer","1-2","diff"
"661","1614","BEPA","106","June",2014,"stem","1cm",7.8,"total",37.7,"summer","0-1","diff"
"662","1615","BEPA","106","June",2014,"stem","2cm",7.1,"total",33.4,"summer","1-2","diff"
"663","1616","BEPA","110","June",2014,"stem","1cm",10.3,"total",71.7,"summer","0-1","diff"
"664","1617","BEPA","110","June",2014,"stem","2cm",6.5,"total",66.5,"summer","1-2","diff"
"665","1618","BEPA","113","June",2014,"stem","1cm",10.7,"total",46.8,"summer","0-1","diff"
"666","1619","BEPA","113","June",2014,"stem","2cm",4.7,"total",42.2,"summer","1-2","diff"
"697","1650","ACRU","102","April",2014,"stem","1cm",57.4,"total",69.1,"spring","0-1","diff"
"698","1651","ACRU","102","April",2014,"stem","2cm",44.4,"total",64,"spring","1-2","diff"
"699","1652","ACRU","103","April",2014,"stem","1cm",45.6,"total",36.6,"spring","0-1","diff"
"700","1653","ACRU","103","April",2014,"stem","2cm",30.8,"total",32.3,"spring","1-2","diff"
"701","1654","ACRU","105","April",2014,"stem","1cm",31.7,"total",43.3,"spring","0-1","diff"
"702","1655","ACRU","105","April",2014,"stem","2cm",29.7,"total",38.8,"spring","1-2","diff"
"703","1656","ACRU","112","April",2014,"stem","1cm",20.5,"total",52.8,"spring","0-1","diff"
"704","1657","ACRU","112","April",2014,"stem","2cm",21.7,"total",48,"spring","1-2","diff"
"705","1658","ACRU","120","April",2014,"stem","1cm",39.5,"total",55.2,"spring","0-1","diff"
"706","1659","ACRU","120","April",2014,"stem","2cm",26.9,"total",50.4,"spring","1-2","diff"
"707","1660","ACRU","124","April",2014,"stem","1cm",34.5,"total",45.7,"spring","0-1","diff"
"708","1661","ACRU","124","April",2014,"stem","2cm",26.2,"total",41.1,"spring","1-2","diff"
"709","1662","BEPA","106","April",2014,"stem","1cm",16.1,"total",37.7,"spring","0-1","diff"
"710","1663","BEPA","106","April",2014,"stem","2cm",23.1,"total",33.4,"spring","1-2","diff"
"711","1664","BEPA","110","April",2014,"stem","1cm",29,"total",71.7,"spring","0-1","diff"
"712","1665","BEPA","110","April",2014,"stem","2cm",29.2,"total",66.5,"spring","1-2","diff"
"713","1666","BEPA","113","April",2014,"stem","1cm",24.3,"total",46.8,"spring","0-1","diff"
"714","1667","BEPA","113","April",2014,"stem","2cm",16.1,"total",42.2,"spring","1-2","diff"
"745","1698","ACRU","102","August",2014,"stem","1cm",34.8,"total",69.1,"summer","0-1","diff"
"746","1699","ACRU","102","August",2014,"stem","2cm",43.1,"total",64,"summer","1-2","diff"
"747","1700","ACRU","103","August",2014,"stem","1cm",18.6,"total",36.6,"summer","0-1","diff"
"748","1701","ACRU","103","August",2014,"stem","2cm",17.4,"total",32.3,"summer","1-2","diff"
"749","1702","ACRU","105","August",2014,"stem","1cm",17.2,"total",43.3,"summer","0-1","diff"
"750","1703","ACRU","105","August",2014,"stem","2cm",21.6,"total",38.8,"summer","1-2","diff"
"751","1704","ACRU","112","August",2014,"stem","1cm",35.9,"total",52.8,"summer","0-1","diff"
"752","1705","ACRU","112","August",2014,"stem","2cm",18.2,"total",48,"summer","1-2","diff"
"753","1706","ACRU","120","August",2014,"stem","1cm",15.4,"total",55.2,"summer","0-1","diff"
"754","1707","ACRU","120","August",2014,"stem","2cm",16.2,"total",50.4,"summer","1-2","diff"
"755","1708","ACRU","124","August",2014,"stem","1cm",19.3,"total",45.7,"summer","0-1","diff"
"756","1709","ACRU","124","August",2014,"stem","2cm",24,"total",41.1,"summer","1-2","diff"
"757","1710","BEPA","106","August",2014,"stem","1cm",33.8,"total",37.7,"summer","0-1","diff"
"758","1711","BEPA","106","August",2014,"stem","2cm",9.9,"total",33.4,"summer","1-2","diff"
"759","1712","BEPA","110","August",2014,"stem","1cm",16.1,"total",71.7,"summer","0-1","diff"
"760","1713","BEPA","110","August",2014,"stem","2cm",14.1,"total",66.5,"summer","1-2","diff"
"761","1714","BEPA","113","August",2014,"stem","1cm",12.6,"total",46.8,"summer","0-1","diff"
"762","1715","BEPA","113","August",2014,"stem","2cm",9.6,"total",42.2,"summer","1-2","diff"
"793","1746","ACRU","102","October",2014,"stem","1cm",59.8,"total",69.1,"autumn","0-1","diff"
"794","1747","ACRU","102","October",2014,"stem","2cm",53.6,"total",64,"autumn","1-2","diff"
"795","1748","ACRU","103","October",2014,"stem","1cm",35.3,"total",36.6,"autumn","0-1","diff"
"796","1749","ACRU","103","October",2014,"stem","2cm",23.5,"total",32.3,"autumn","1-2","diff"
"797","1750","ACRU","105","October",2014,"stem","1cm",30.9,"total",43.3,"autumn","0-1","diff"
"798","1751","ACRU","105","October",2014,"stem","2cm",23.7,"total",38.8,"autumn","1-2","diff"
"799","1752","ACRU","112","October",2014,"stem","1cm",33.7,"total",52.8,"autumn","0-1","diff"
"800","1753","ACRU","112","October",2014,"stem","2cm",47.1,"total",48,"autumn","1-2","diff"
"801","1754","ACRU","120","October",2014,"stem","1cm",51.5,"total",55.2,"autumn","0-1","diff"
"802","1755","ACRU","120","October",2014,"stem","2cm",47,"total",50.4,"autumn","1-2","diff"
"803","1756","ACRU","124","October",2014,"stem","1cm",27.7,"total",45.7,"autumn","0-1","diff"
"804","1757","ACRU","124","October",2014,"stem","2cm",28.2,"total",41.1,"autumn","1-2","diff"
"805","1758","BEPA","106","October",2014,"stem","1cm",21.7,"total",37.7,"autumn","0-1","diff"
"806","1759","BEPA","106","October",2014,"stem","2cm",22.4,"total",33.4,"autumn","1-2","diff"
"807","1760","BEPA","110","October",2014,"stem","1cm",36.4,"total",71.7,"autumn","0-1","diff"
"808","1761","BEPA","110","October",2014,"stem","2cm",30,"total",66.5,"autumn","1-2","diff"
"809","1762","BEPA","113","October",2014,"stem","1cm",27.9,"total",46.8,"autumn","0-1","diff"
"810","1763","BEPA","113","October",2014,"stem","2cm",25,"total",42.2,"autumn","1-2","diff"
"1021","2654","ACRU","102","February",2014,"stem","1cm",35.2,"total",69.1,"winter","0-1","diff"
"1022","2655","ACRU","103","February",2014,"stem","1cm",26.7,"total",36.6,"winter","0-1","diff"
"1023","2656","ACRU","105","February",2014,"stem","1cm",26.9,"total",43.3,"winter","0-1","diff"
"1024","2657","ACRU","112","February",2014,"stem","1cm",21.6,"total",52.8,"winter","0-1","diff"
"1025","2658","ACRU","120","February",2014,"stem","1cm",22.5,"total",55.2,"winter","0-1","diff"
"1026","2659","ACRU","124","February",2014,"stem","1cm",26.2,"total",45.7,"winter","0-1","diff"
"1027","2660","BEPA","106","February",2014,"stem","1cm",14.7,"total",37.7,"winter","0-1","diff"
"1028","2661","BEPA","110","February",2014,"stem","1cm",16.1,"total",71.7,"winter","0-1","diff"
"1029","2662","BEPA","113","February",2014,"stem","1cm",22.6,"total",46.8,"winter","0-1","diff"
"1045","2678","ACRU","102","February",2014,"stem","2cm",34.2,"total",64,"winter","1-2","diff"
"1046","2679","ACRU","103","February",2014,"stem","2cm",24.4,"total",32.3,"winter","1-2","diff"
"1047","2680","ACRU","105","February",2014,"stem","2cm",20.2,"total",38.8,"winter","1-2","diff"
"1048","2681","ACRU","112","February",2014,"stem","2cm",18.6,"total",48,"winter","1-2","diff"
"1049","2682","ACRU","120","February",2014,"stem","2cm",20.4,"total",50.4,"winter","1-2","diff"
"1050","2683","ACRU","124","February",2014,"stem","2cm",20.1,"total",41.1,"winter","1-2","diff"
"1051","2684","BEPA","106","February",2014,"stem","2cm",10.6,"total",33.4,"winter","1-2","diff"
"1052","2685","BEPA","110","February",2014,"stem","2cm",15.4,"total",66.5,"winter","1-2","diff"
"1053","2686","BEPA","113","February",2014,"stem","2cm",14,"total",42.2,"winter","1-2","diff"
"1069","2702","ACRU","102","February",2014,"stem","3cm",52.2,"total",58.9,"winter","2-3","diff"
"1070","2703","ACRU","103","February",2014,"stem","3cm",27.6,"total",28.1,"winter","2-3","diff"
"1071","2704","ACRU","105","February",2014,"stem","3cm",25.7,"total",34.4,"winter","2-3","diff"
"1072","2705","ACRU","112","February",2014,"stem","3cm",25.5,"total",43.3,"winter","2-3","diff"
"1073","2706","ACRU","120","February",2014,"stem","3cm",20.8,"total",45.7,"winter","2-3","diff"
"1074","2707","ACRU","124","February",2014,"stem","3cm",19.7,"total",36.6,"winter","2-3","diff"
"1075","2708","BEPA","106","February",2014,"stem","3cm",11.2,"total",29.2,"winter","2-3","diff"
"1076","2709","BEPA","110","February",2014,"stem","3cm",14,"total",61.4,"winter","2-3","diff"
"1077","2710","BEPA","113","February",2014,"stem","3cm",15.3,"total",37.7,"winter","2-3","diff"
"1093","2726","ACRU","102","February",2014,"stem","4cm",44.8,"total",54,"winter","3-4","diff"
"1094","2727","ACRU","103","February",2014,"stem","4cm",20.8,"total",24.1,"winter","3-4","diff"
"1095","2728","ACRU","105","February",2014,"stem","4cm",26.5,"total",30.2,"winter","3-4","diff"
"1096","2729","ACRU","112","February",2014,"stem","4cm",21.5,"total",38.8,"winter","3-4","diff"
"1097","2730","ACRU","120","February",2014,"stem","4cm",24.6,"total",41.1,"winter","3-4","diff"
"1098","2731","ACRU","124","February",2014,"stem","4cm",21.1,"total",32.3,"winter","3-4","diff"
"1099","2732","BEPA","106","February",2014,"stem","4cm",13.5,"total",25.1,"winter","3-4","diff"
"1100","2733","BEPA","110","February",2014,"stem","4cm",12.1,"total",56.4,"winter","3-4","diff"
"1101","2734","BEPA","113","February",2014,"stem","4cm",16.1,"total",33.4,"winter","3-4","diff"
"1117","2750","ACRU","102","March",2014,"stem","1cm",17.6,"total",69.1,"spring","0-1","diff"
"1118","2751","ACRU","103","March",2014,"stem","1cm",15.7,"total",36.6,"spring","0-1","diff"
"1119","2752","ACRU","105","March",2014,"stem","1cm",25.2,"total",43.3,"spring","0-1","diff"
"1120","2753","ACRU","112","March",2014,"stem","1cm",10,"total",52.8,"spring","0-1","diff"
"1121","2754","ACRU","120","March",2014,"stem","1cm",15.6,"total",55.2,"spring","0-1","diff"
"1122","2755","ACRU","124","March",2014,"stem","1cm",21.2,"total",45.7,"spring","0-1","diff"
"1123","2756","BEPA","106","March",2014,"stem","1cm",15.6,"total",37.7,"spring","0-1","diff"
"1124","2757","BEPA","110","March",2014,"stem","1cm",16.5,"total",71.7,"spring","0-1","diff"
"1125","2758","BEPA","113","March",2014,"stem","1cm",14.6,"total",46.8,"spring","0-1","diff"
"1141","2774","ACRU","102","March",2014,"stem","2cm",19.7,"total",64,"spring","1-2","diff"
"1142","2775","ACRU","103","March",2014,"stem","2cm",14.5,"total",32.3,"spring","1-2","diff"
"1143","2776","ACRU","105","March",2014,"stem","2cm",18,"total",38.8,"spring","1-2","diff"
"1144","2777","ACRU","112","March",2014,"stem","2cm",9.2,"total",48,"spring","1-2","diff"
"1145","2778","ACRU","120","March",2014,"stem","2cm",22.3,"total",50.4,"spring","1-2","diff"
"1146","2779","ACRU","124","March",2014,"stem","2cm",19.5,"total",41.1,"spring","1-2","diff"
"1147","2780","BEPA","106","March",2014,"stem","2cm",10.8,"total",33.4,"spring","1-2","diff"
"1148","2781","BEPA","110","March",2014,"stem","2cm",16.6,"total",66.5,"spring","1-2","diff"
"1149","2782","BEPA","113","March",2014,"stem","2cm",13,"total",42.2,"spring","1-2","diff"
