"mean","25%","75%","parameter","int.mean","int.25","int.75","2.5%","97.5%","int2.5","int97.5"
13.57,13.04,14.09,"intercept[1]",13.57,13.04,14.09,12.06,15.1,12.06,15.1
9.71,9.21,10.21,"intercept[2]",9.71,9.21,10.21,8.26,11.2,8.26,11.2
12.75,12.23,13.26,"intercept[3]",12.75,12.23,13.26,11.24,14.25,11.24,14.25
23.12,22.52,23.72,"intercept[4]",23.12,22.52,23.72,21.34,24.93,21.34,24.93
11.9,10.72,13.1,"increment1M2[1]",13.57,13.04,14.09,8.29,15.36,12.06,15.1
7.75,6.61,8.97,"increment1M2[2]",9.71,9.21,10.21,4.09,11.08,8.26,11.2
11.92,10.66,13.09,"increment1M2[3]",12.75,12.23,13.26,8.52,15.68,11.24,14.25
22.09,20.71,23.44,"increment1M2[4]",23.12,22.52,23.72,18.05,26.33,21.34,24.93
12.23,10.98,13.42,"increment2M3[1]",13.57,13.04,14.09,8.83,16.07,12.06,15.1
7.64,6.51,8.79,"increment2M3[2]",9.71,9.21,10.21,4.09,11.02,8.26,11.2
10.41,9.25,11.6,"increment2M3[3]",12.75,12.23,13.26,6.81,13.8,11.24,14.25
21.35,20.04,22.64,"increment2M3[4]",23.12,22.52,23.72,17.37,25.52,21.34,24.93
11.86,10.54,13.12,"increment3M4[1]",13.57,13.04,14.09,8.32,15.77,12.06,15.1
7.66,6.44,8.86,"increment3M4[2]",9.71,9.21,10.21,4.19,11.3,8.26,11.2
9.54,8.32,10.8,"increment3M4[3]",12.75,12.23,13.26,5.72,13.05,11.24,14.25
19.6,18.17,21.15,"increment3M4[4]",23.12,22.52,23.72,15.04,23.79,21.34,24.93
11.86,10.54,13.12,"increment4M8[1]",13.57,13.04,14.09,8.32,15.77,12.06,15.1
7.66,6.44,8.86,"increment4M8[2]",9.71,9.21,10.21,4.19,11.3,8.26,11.2
9.54,8.32,10.8,"increment4M8[3]",12.75,12.23,13.26,5.72,13.05,11.24,14.25
19.6,18.17,21.15,"increment4M8[4]",23.12,22.52,23.72,15.04,23.79,21.34,24.93
11.86,10.54,13.12,"increment8Mpith[1]",13.57,13.04,14.09,8.32,15.77,12.06,15.1
7.66,6.44,8.86,"increment8Mpith[2]",9.71,9.21,10.21,4.19,11.3,8.26,11.2
9.54,8.32,10.8,"increment8Mpith[3]",12.75,12.23,13.26,5.72,13.05,11.24,14.25
19.6,18.17,21.15,"increment8Mpith[4]",23.12,22.52,23.72,15.04,23.79,21.34,24.93
