"","mean","sd","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$",14.6364720671663,4.20590616697203,12.2325047755831,16.9651744315126,3.37296540024849,24.9963879217091
"$\mu_{increment 1-2}$",-1.32701012534671,1.26253945578544,-2.00447340189859,-0.620803311813275,-4.68722885854143,1.75823789540783
"$\mu_{increment 2-3}$",-1.80471559065184,1.19594157174104,-2.4452912001262,-1.18676105917396,-4.81541437185897,1.40756561169911
"$\mu_{increment 3-4}$",-2.54911600576849,1.52286487845967,-3.2209623481153,-1.80237649861106,-6.90143374454384,1.44002072657017
"$\mu_{increment 4-8}$",-2.89971731456292,2.62406238770957,-4.41850596448028,-1.48996147427074,-8.60148492476205,4.01284265107037
"$\mu_{increment 8-pith}$",-5.15231644831378,3.57636868462477,-7.32226304356207,-3.06741559403436,-13.1320916727376,4.18880040362192
"$\mu_{\alphaSpring}$",-1.08139567530739,4.23650809087335,-3.47080614888094,1.31747245347891,-11.8922364125929,9.79643847921962
"$\mu_{\alphaSummer}$",-4.95781083509687,4.2261351281382,-7.25029787869861,-2.62643354950311,-15.8652350651254,6.18175797225074
"$\mu_{\alphaAutumn}$",-1.92081696347471,4.23382384522638,-4.3641545815817,0.452183993270433,-12.4375531209938,9.16218532670062
"$\mu_{\alphaWinter}$",8.43100837538884,4.21764142868134,6.11625811264062,10.8594566452477,-1.80209060707588,19.6293393654033
"$\mu_{\increment 1-2Spring}$",-0.331485839729946,1.28096617621876,-0.93091415082977,0.224941332370698,-3.72535558628367,3.12743708563333
"$\mu_{\increment 1-2Summer}$",-0.621039974547772,1.35216264216977,-1.27015939819378,0.0576281075245859,-4.62103252991363,2.58609036742264
"$\mu_{\increment 1-2Autumn}$",0.511782613639646,1.30965589552854,-0.128704785593369,1.0095854488178,-2.19373792665679,4.60759021276924
"$\mu_{\increment 1-2Winter}$",0.433522009683113,1.39944423823864,-0.241628026384043,1.00363615972867,-2.70954419723459,4.65950555319853
"$\mu_{\increment 2-3Spring}$",0.461425037544231,1.22809547387376,-0.0974097844790505,0.918377153599569,-2.43360862997815,4.23764638590455
"$\mu_{\increment 2-3Summer}$",-0.220469420838715,1.23439899158727,-0.678637866014924,0.281510994440729,-3.94488055588597,3.02621556558158
"$\mu_{\increment 2-3Autumn}$",-0.488574264929372,1.23009908918617,-0.984048027149656,0.104869512434341,-4.23727430265281,2.17683988286419
"$\mu_{\increment 2-3Winter}$",0.0676502052306345,1.29403043001116,-0.488937468177682,0.601975366948701,-3.36039117155713,3.47516382270502
"$\mu_{\increment 3-4Spring}$",0.894096598144374,1.61201456296063,0.0337019372324694,1.56054273078335,-2.75012560266755,5.64055149446693
"$\mu_{\increment 3-4Summer}$",0.55736527986713,1.56372623147508,-0.157551109971627,1.19547222984467,-3.301458717294,5.04573824803366
"$\mu_{\increment 3-4Autumn}$",-0.59341742284172,1.60649662206844,-1.30687992085415,0.14891260451352,-5.1214824411859,3.61606948847528
"$\mu_{\increment 3-4Winter}$",-0.996303123218863,1.71204994796857,-1.90470147505924,-0.0111172807234544,-5.59801415015409,3.05612120930843
"$\mu_{\increment 4-8Spring}$",3.14612463191597,2.71177894118056,1.53081041213557,4.82252537574123,-3.32702257074868,9.88488039513951
"$\mu_{\increment 4-8Summer}$",1.04890491668734,2.70564843012812,-0.37303967418967,2.65739280402873,-6.1575494428756,6.9944012495554
"$\mu_{\increment 4-8Autumn}$",-1.61630916959321,2.73092377082506,-3.14363050206459,0.0184756532989405,-9.07993744933064,4.49893925371533
"$\mu_{\increment 4-8Winter}$",-3.60171887364223,2.85682301553656,-5.18766608857407,-1.79767382020471,-11.4104826320575,2.57713242972184
"$\mu_{\increment 8-pithSpring}$",0.953804162882276,3.66769458105167,-1.18664798105912,3.28954419716264,-8.77087856452682,9.36328103219336
"$\mu_{\increment 8-pithSummer}$",4.79175833719543,3.68134953753151,2.57474969910521,7.09830161301195,-4.47659552876799,13.2978500681583
"$\mu_{\increment 8-pithAutumn}$",0.64224162026889,3.67843079136251,-1.45959758349387,2.89918678810549,-8.8178461593117,8.51959181335048
"$\mu_{\increment 8-pithWinter}$",-9.25605584203244,3.69162593828351,-11.4183354414914,-6.85964818158752,-18.5409253179702,-1.13419870039585
