"mean","25%","75%","parameter","int.mean","int.25","int.75","2.5%","97.5%","int2.5","int97.5"
21.05,19.24,22.9,"intercept[1]",21.05,19.24,22.9,15.65,26.35,15.65,26.35
21.63,19.87,23.43,"intercept[2]",21.63,19.87,23.43,16.41,26.77,16.41,26.77
59.52,57.61,61.45,"intercept[3]",59.52,57.61,61.45,53.75,65.2,53.75,65.2
31.57,29.39,33.73,"intercept[4]",31.57,29.39,33.73,25.15,38.05,25.15,38.05
18.54,14.24,22.89,"increment1M2[1]",21.05,19.24,22.9,5.85,31.15,15.65,26.35
17.65,13.32,21.95,"increment1M2[2]",21.63,19.87,23.43,5.05,30.19,16.41,26.77
25.43,20.75,30.06,"increment1M2[3]",59.52,57.61,61.45,11.68,39.11,53.75,65.2
30.43,25.17,35.64,"increment1M2[4]",31.57,29.39,33.73,15.13,45.96,25.15,38.05
14.48,9.98,18.95,"increment2M3[1]",21.05,19.24,22.9,1.49,27.38,15.65,26.35
11.78,7.42,16.11,"increment2M3[2]",21.63,19.87,23.43,-0.760000000000002,24.4,16.41,26.77
10.66,6,15.32,"increment2M3[3]",59.52,57.61,61.45,-3.07,24.39,53.75,65.2
25.92,20.62,31.17,"increment2M3[4]",31.57,29.39,33.73,10.56,41.51,25.15,38.05
13.74,9.3,18.2,"increment3M4[1]",21.05,19.24,22.9,0.710000000000001,26.44,15.65,26.35
14.54,10.19,18.88,"increment3M4[2]",21.63,19.87,23.43,1.94,27.32,16.41,26.77
9.82,5.16,14.48,"increment3M4[3]",59.52,57.61,61.45,-3.89,23.52,53.75,65.2
22.13,16.69,27.46,"increment3M4[4]",31.57,29.39,33.73,6.59,37.83,25.15,38.05
13.74,9.3,18.2,"increment4M8[1]",21.05,19.24,22.9,0.710000000000001,26.44,15.65,26.35
14.54,10.19,18.88,"increment4M8[2]",21.63,19.87,23.43,1.94,27.32,16.41,26.77
9.82,5.16,14.48,"increment4M8[3]",59.52,57.61,61.45,-3.89,23.52,53.75,65.2
22.13,16.69,27.46,"increment4M8[4]",31.57,29.39,33.73,6.59,37.83,25.15,38.05
13.74,9.3,18.2,"increment8Mpith[1]",21.05,19.24,22.9,0.710000000000001,26.44,15.65,26.35
14.54,10.19,18.88,"increment8Mpith[2]",21.63,19.87,23.43,1.94,27.32,16.41,26.77
9.82,5.16,14.48,"increment8Mpith[3]",59.52,57.61,61.45,-3.89,23.52,53.75,65.2
22.13,16.69,27.46,"increment8Mpith[4]",31.57,29.39,33.73,6.59,37.83,25.15,38.05
