"","mean","sd","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$",25.3714046886552,6.31793678497217,21.3515930552407,29.2550059402498,9.42827890472749,39.9945038668596
"$\mu_{increment 1-2}$",-3.41202136189441,5.05143015082502,-6.59664922555215,-0.178939886379197,-15.2419469481227,8.91602580664643
"$\mu_{increment 2-3}$",-7.65851967754865,5.9294517250941,-11.5006128949799,-3.90180546657233,-21.006550153468,7.15482514342432
"$\mu_{increment 3-4}$",-7.84203106035343,5.56990760336726,-11.5066465057456,-4.19579380970515,-20.5005233101912,5.66348784174033
"$\mu_{increment 4-8}$",-9.44014610310516,5.99296980039467,-13.4072062353756,-5.62498138520977,-22.6210366036399,6.40503611951077
"$\mu_{increment 8-pith}$",-13.2721128501627,5.91494409943503,-17.1586387799242,-9.6324782905211,-25.7336880398535,1.31754821727361
"$\mu_{\alphaSpring}$",-4.86783686537749,6.58823711345389,-9.25722209958087,-0.668788550139785,-20.0118996384442,10.7513174912537
"$\mu_{\alphaSummer}$",-5.04812933102911,6.57494043354677,-9.22960435717422,-1.02564676575506,-20.1421892288261,11.3306954786676
"$\mu_{\alphaAutumn}$",33.22984190085,6.93955402282619,28.7449964928927,37.5509444616807,17.4513378853942,50.1010285765629
"$\mu_{\alphaWinter}$",6.10583665384402,6.79774011377426,1.73304808432054,10.4401901953842,-9.02933910120607,21.7892635539152
"$\mu_{\increment 1-2Spring}$",1.62193787475091,5.54899505360338,-2.133956907137,5.50867398822986,-11.5613115747514,13.2428784783421
"$\mu_{\increment 1-2Summer}$",0.825052979278408,5.58968881187874,-2.64263095129338,4.43895194165109,-12.6690524605755,13.6903527720304
"$\mu_{\increment 1-2Autumn}$",-29.7347869401336,6.30283792361606,-33.8706274275279,-25.3610138505414,-44.2209663706651,-15.7321765000656
"$\mu_{\increment 1-2Winter}$",2.37404110348959,6.00469347238634,-1.5037950234274,6.11270146276079,-10.9893935228512,16.882256286288
"$\mu_{\increment 2-3Spring}$",1.92207761414211,6.58692889601076,-2.22498737773444,6.22614450626215,-14.0939616486919,16.3957202846608
"$\mu_{\increment 2-3Summer}$",-0.721033957494946,6.62525292287365,-4.90423440966454,3.60746433106117,-16.6406394263692,13.6033887667994
"$\mu_{\increment 2-3Autumn}$",-40.0881367716246,6.95864130950212,-44.7211486642449,-35.4600697030505,-56.5855468698564,-24.9304956219236
"$\mu_{\increment 2-3Winter}$",2.095286777067,6.70890262451836,-2.207189660019,6.41646357861077,-14.3865281867642,16.3375966326533
"$\mu_{\increment 3-4Spring}$",1.37416194399982,6.38410094854283,-2.85220180393297,5.55112346661542,-13.4242217625694,15.5066435030208
"$\mu_{\increment 3-4Summer}$",2.11831837051084,6.248330356762,-1.98013406431614,6.39913159488183,-12.4217304280463,15.8031223478678
"$\mu_{\increment 3-4Autumn}$",-40.8095801312972,6.83115752815889,-45.1425820532725,-36.2424860144576,-57.3279370311062,-26.2386832572656
"$\mu_{\increment 3-4Winter}$",-1.52921336360553,6.75306914574984,-5.99216577290505,2.9407651778059,-17.1952257829456,13.808859717442
"$\mu_{\increment 4-8Spring}$",6.82265056948442,6.59199468298783,2.53784015071174,11.3623112864109,-9.70620212021516,21.6494062285511
"$\mu_{\increment 4-8Summer}$",-2.20072379002779,6.71350444675596,-6.54439900264933,2.28708596380279,-19.8262393645615,11.1736421506824
"$\mu_{\increment 4-8Autumn}$",-39.9334093254856,7.129119690161,-44.2233567770916,-35.0641571165608,-57.4950499474817,-23.8848044965646
"$\mu_{\increment 4-8Winter}$",-4.03932964719967,7.09834315584235,-8.51340564541447,0.871917308376189,-21.3174014240549,11.5001624502575
"$\mu_{\increment 8-pithSpring}$",2.07031404802079,6.562444017829,-2.0948568743738,6.6055433133603,-13.7642025228712,15.9395599638814
"$\mu_{\increment 8-pithSummer}$",2.8288208564954,6.37583936727996,-0.864641323037914,6.94511439330361,-12.1598550760342,16.738788726925
"$\mu_{\increment 8-pithAutumn}$",-35.2580945678272,7.37029021459079,-40.0394729387637,-30.0519038104097,-52.945201083585,-20.0371787126239
"$\mu_{\increment 8-pithWinter}$",-8.61466596724137,7.04617699331408,-13.1464168049891,-3.70913549533401,-25.4166140109193,5.65850065340834
