"","mean","sd","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$",11.995797788749,5.884833302491,8.31530534412248,15.7503106245395,-2.48376895609209,25.2120010844745
"$\mu_{increment 1-2}$",-3.01910710532068,4.87529252369074,-6.05421445479441,0.0222162838861575,-14.6446156390634,8.16325530452362
"$\mu_{increment 2-3}$",-7.22881166045101,5.41345842649668,-10.9192377664656,-3.86650443781926,-18.8715427458353,6.41271220003942
"$\mu_{increment 3-4}$",-7.5868836904952,5.48421789916938,-11.0657010705589,-4.21660228170345,-19.5052517673142,5.94539499041393
"$\mu_{increment 4-8}$",-8.70101397238566,5.61127019957102,-12.6277614037346,-5.0474935663601,-20.5706583833482,4.35846074068232
"$\mu_{increment 8-pith}$",-9.92050419418946,5.37786614020993,-13.445172050091,-6.65141847187703,-21.5172946397351,3.68039003744361
"$\mu_{\alphaSpring}$",-4.30800406179976,6.07167856265985,-8.28773053793178,-0.425285891028089,-18.2749085956626,10.5597304900055
"$\mu_{\alphaSummer}$",-1.83227592502273,6.21376033524259,-5.77455743653501,2.11317165869074,-15.0708403486071,13.2907556661533
"$\mu_{\alphaAutumn}$",34.1808363208145,6.35981149433762,30.036105052014,37.9847631781707,20.101648198492,50.1727628210889
"$\mu_{\alphaWinter}$",-3.64972698279226,6.2625510571598,-7.59549602570746,0.16080986259275,-17.5797273115421,12.0746345066051
"$\mu_{\increment 1-2Spring}$",2.17793526226249,5.44727705156363,-1.2101502992446,5.67561478633021,-10.6197287675534,14.3122438892985
"$\mu_{\increment 1-2Summer}$",2.98026097526279,5.4088036728863,-0.519000997140357,6.35712298697398,-9.12221678596961,16.0736982496484
"$\mu_{\increment 1-2Autumn}$",-30.2998973043677,6.14553407182803,-34.167845254395,-26.4776269429507,-45.0835573291152,-16.4818909085574
"$\mu_{\increment 1-2Winter}$",3.55452476689635,5.6591635256282,-0.110411122080045,7.16070955700845,-9.20414137283145,17.083370329765
"$\mu_{\increment 2-3Spring}$",1.6432542985706,6.02995031341298,-2.11399894998634,5.52363817464396,-13.2542058627165,14.0534521650563
"$\mu_{\increment 2-3Summer}$",1.26980981567569,6.06327047979934,-2.53857081380104,5.34577814991998,-14.2137307037518,14.6566531457569
"$\mu_{\increment 2-3Autumn}$",-38.3753793837231,6.3942931321107,-42.2552987741984,-34.140367377509,-54.4584681080146,-24.9773598921855
"$\mu_{\increment 2-3Winter}$",3.65839405394733,6.23829225765957,-0.325126039387878,7.7668121092917,-11.1490461617782,17.1758725880562
"$\mu_{\increment 3-4Spring}$",1.646421666838,6.02816983804874,-2.1857561506689,5.71128621809423,-12.432741289438,14.5245054348636
"$\mu_{\increment 3-4Summer}$",3.94315396922136,5.99259145402663,-0.0135351042967911,7.97471843440819,-9.76580373578481,16.7531537209395
"$\mu_{\increment 3-4Autumn}$",-37.9994992613187,6.60212140001975,-42.13845815043,-33.6536153759455,-53.2194623849027,-23.6109344172716
"$\mu_{\increment 3-4Winter}$",2.71983731109697,6.29212287388044,-1.40543276070932,6.87886908420468,-12.1323828139809,16.0266409133101
"$\mu_{\increment 4-8Spring}$",4.87697697489527,6.08878985604416,0.93629672934167,9.01546726541924,-9.16103326034639,17.8483925816424
"$\mu_{\increment 4-8Summer}$",-0.942974030981902,6.26247097843971,-5.03412518647723,3.31673527307904,-15.4927751933909,12.647524908924
"$\mu_{\increment 4-8Autumn}$",-36.2915407632917,6.56532961165593,-40.5099615220173,-31.7848880356788,-51.7926749407758,-22.0989254171103
"$\mu_{\increment 4-8Winter}$",1.92613683796729,6.38435919953642,-2.41920530953971,6.40631672503332,-12.6483359951936,15.8358361802053
"$\mu_{\increment 8-pithSpring}$",2.17967522583808,5.92278216924106,-1.57832617614387,6.17746499024434,-12.3716723946926,15.0945637574426
"$\mu_{\increment 8-pithSummer}$",-0.120156234161856,5.90490111396049,-3.75309139435888,3.80505832773656,-15.402163212041,12.3959689009987
"$\mu_{\increment 8-pithAutumn}$",-35.4159048270309,6.56389283050013,-39.7079846273144,-30.8703780860556,-51.3472165549603,-21.7595728944883
"$\mu_{\increment 8-pithWinter}$",1.5971808063752,6.22991162265304,-2.38332027366582,5.88746601399269,-13.6033182030512,15.1463263675206
