"","mean","sd","25%","50%","2.5%","97.5%"
"Intercept",1.3662364575508,2.74730892006788,-0.42530594631044,3.13170938131115,-4.98309757616269,7.52609464710133
"incrementfineroot",2.90650780987867,3.86312539218172,0.359177330234865,5.46611483508032,-6.03576526700644,11.6280899002138
"incrementR1",1.26612072910002,3.85437990076901,-1.28801128379474,3.85503917668535,-7.44281823015354,9.74973482404566
"incrementR2",4.0416539906348,3.81648798501331,1.53329762650338,6.62357607538528,-4.56355380855778,12.4489749016734
"incrementR3",7.03318543104296,3.79227857974579,4.53735423759516,9.59181859769088,-1.53380489431308,15.4986942665167
"incrementR4",9.40162504686169,3.80078748274254,6.94610889446772,11.9277461713669,0.611191216053717,17.9585831495618
"incrementS1",-0.416186862257697,3.88255981757819,-2.95400980492078,2.23719467900996,-9.57216902374493,8.00740285301924
"incrementS2",3.47227380721868,3.79127656178433,0.993915437776762,5.95908516275922,-5.27417166154351,12.0664458373297
"incrementS3",3.45646837438092,3.86024046222841,0.900569054285846,6.02497543195657,-5.44245683104158,12.0122279956032
"incrementS4",7.56123386880895,3.76948594355158,5.0269981443968,9.97907456122512,-0.863391070477863,16.2901293583841
