"","mean","sd","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$",16.9609777837128,5.05967844445289,13.9418224933112,20.1436658379052,4.48301154014244,28.5351213338242
"$\mu_{increment 1-2}$",-10.3395403983013,4.92144796981173,-12.9716108173397,-7.45605134617763,-24.0408677589939,1.31247871337989
"$\mu_{increment 2-3}$",-17.3982429002618,6.08929622787651,-20.8034373054957,-13.9714580186971,-32.4146249035448,-2.30271692137511
"$\mu_{increment 3-4}$",-16.7021487825001,6.19889912952927,-20.14722236366,-13.13779150361,-32.4125166584247,-1.54431389656129
"$\mu_{increment 4-8}$",-17.5398113130721,5.86565932057358,-20.9052137730646,-14.1724265869211,-31.5737932563011,-2.65261503697401
"$\mu_{increment 8-pith}$",-14.2600663684667,8.42916190847135,-18.0060697422707,-10.3342010032202,-36.8131355401359,6.99605087970451
"$\mu_{\alphaSpring}$",-7.01659808328454,5.25764979747735,-10.329489897938,-3.88443597991845,-18.8776673696758,5.97216437381437
"$\mu_{\alphaSummer}$",0.765486418425347,5.23723550969929,-2.55296249391337,3.8886045434949,-11.1910546182171,13.6106812914079
"$\mu_{\alphaAutumn}$",17.9638080840261,5.29825679498498,14.6005385384066,21.1359894465397,5.85441440391545,31.5758665646021
"$\mu_{\alphaWinter}$",-7.61072008509238,5.34173986002058,-11.031394318749,-4.26123976340742,-19.9752985668615,5.57188129613959
"$\mu_{\increment 1-2Spring}$",7.49416290988452,5.29137582074069,4.18612015185207,10.3324877515223,-3.96534434598524,21.6980379074932
"$\mu_{\increment 1-2Summer}$",0.812355605200199,5.21076493478728,-2.26608377461965,3.66893335829872,-11.2813820307944,14.3827260906575
"$\mu_{\increment 1-2Autumn}$",-11.2342978641965,5.26867597741817,-14.3691628706033,-8.07392211970262,-23.5493723519143,2.2466251702548
"$\mu_{\increment 1-2Winter}$",3.42486096115138,5.32607886613319,0.248956731331956,6.3740019680702,-9.12416652639569,17.1784678745029
"$\mu_{\increment 2-3Spring}$",7.46210432074306,6.37388228908367,3.68224253352248,11.1206802085796,-7.34386808846239,23.0285285912157
"$\mu_{\increment 2-3Summer}$",2.05708717074609,6.36174067779239,-1.59856210905509,5.65745031876004,-13.2545099903201,17.4131386628541
"$\mu_{\increment 2-3Autumn}$",-17.0083514870323,6.4089406573365,-20.7480291043467,-13.0828724928395,-33.1170665927392,-2.42065364732503
"$\mu_{\increment 2-3Winter}$",8.02634266344556,6.55351699803733,4.09163137017323,11.8318621114167,-7.58049384857335,24.2434492523108
"$\mu_{\increment 3-4Spring}$",6.78829216836859,6.5093750211938,2.96107811974508,10.6243087334666,-8.94992677211932,23.3739852369538
"$\mu_{\increment 3-4Summer}$",4.503132925934,6.52271807236902,0.542339499752151,8.30861686032872,-10.4808597642063,21.2557018915409
"$\mu_{\increment 3-4Autumn}$",-17.6902460264367,6.54176046745553,-21.4614758688895,-13.70972655109,-34.0873408956016,-2.7514090287253
"$\mu_{\increment 3-4Winter}$",7.25501682155494,6.5997735009673,3.40617562459174,11.032965825149,-8.48670343824837,24.4031894009451
"$\mu_{\increment 4-8Spring}$",7.63225214448866,6.13606350360517,3.94074780028247,11.2521400625057,-6.9873635070048,22.780336799604
"$\mu_{\increment 4-8Summer}$",0.16531741581762,6.11350168555674,-3.38587095079814,3.80088798247054,-14.8192673349089,14.3639982987629
"$\mu_{\increment 4-8Autumn}$",-15.7918606621603,6.24810520254167,-19.3517301597365,-11.9569135709856,-31.4995176379743,-1.40187638130774
"$\mu_{\increment 4-8Winter}$",7.98950398631057,6.2632600258529,4.13180294454164,11.6304930776929,-6.41776371869247,22.999529556312
"$\mu_{\increment 8-pithSpring}$",1.31701883121119,11.1718520863456,-2.59692602751399,4.92325589551879,-25.1088832872291,33.9687804448474
"$\mu_{\increment 8-pithSummer}$",-1.93744731850441,8.01525099062873,-4.94742693131551,1.0774902506497,-24.0421503789752,18.5495952070318
"$\mu_{\increment 8-pithAutumn}$",-2.86403219474595,15.3626211773581,-8.33099826686013,2.95519156874313,-46.8183006262425,33.5780615487684
"$\mu_{\increment 8-pithWinter}$",3.26662631314785,8.60756632942807,-0.570979644405758,6.68072232352614,-16.704170428272,29.2760864195202
