"mean","25%","75%","parameter","int.mean","int.25","int.75","2.5%","97.5%","int2.5","int97.5"
26.09,25.19,26.96,"intercept[1]",26.09,25.19,26.96,23.58,28.62,23.58,28.62
20.07,19.2,20.95,"intercept[2]",20.07,19.2,20.95,17.5,22.55,17.5,22.55
32.07,31.18,32.95,"intercept[3]",32.07,31.18,32.95,29.57,34.63,29.57,34.63
50.74,49.62,51.86,"intercept[4]",50.74,49.62,51.86,47.42,53.98,47.42,53.98
21.22,19.1,23.3,"increment1M2[1]",26.09,25.19,26.96,15.13,27.34,23.58,28.62
15,12.88,17.11,"increment1M2[2]",20.07,19.2,20.95,8.74,21.09,17.5,22.55
21.5,19.38,23.6,"increment1M2[3]",32.07,31.18,32.95,15.37,27.63,29.57,34.63
24.28,21.57,27,"increment1M2[4]",50.74,49.62,51.86,16.32,31.97,47.42,53.98
16.96,14.84,19.04,"increment2M3[1]",26.09,25.19,26.96,10.9,23.11,23.58,28.62
15.93,13.87,18.02,"increment2M3[2]",20.07,19.2,20.95,9.72,22.03,17.5,22.55
16.5,14.43,18.57,"increment2M3[3]",32.07,31.18,32.95,10.49,22.49,29.57,34.63
19.56,16.89,22.27,"increment2M3[4]",50.74,49.62,51.86,11.62,27.38,47.42,53.98
15.22,13.13,17.24,"increment3M4[1]",26.09,25.19,26.96,9.1,21.17,23.58,28.62
14.67,12.57,16.79,"increment3M4[2]",20.07,19.2,20.95,8.57,20.85,17.5,22.55
16.38,14.28,18.49,"increment3M4[3]",32.07,31.18,32.95,10.31,22.42,29.57,34.63
18.97,16.31,21.65,"increment3M4[4]",50.74,49.62,51.86,11.19,26.76,47.42,53.98
15.22,13.13,17.24,"increment4M8[1]",26.09,25.19,26.96,9.1,21.17,23.58,28.62
14.67,12.57,16.79,"increment4M8[2]",20.07,19.2,20.95,8.57,20.85,17.5,22.55
16.38,14.28,18.49,"increment4M8[3]",32.07,31.18,32.95,10.31,22.42,29.57,34.63
18.97,16.31,21.65,"increment4M8[4]",50.74,49.62,51.86,11.19,26.76,47.42,53.98
15.22,13.13,17.24,"increment8Mpith[1]",26.09,25.19,26.96,9.1,21.17,23.58,28.62
14.67,12.57,16.79,"increment8Mpith[2]",20.07,19.2,20.95,8.57,20.85,17.5,22.55
16.38,14.28,18.49,"increment8Mpith[3]",32.07,31.18,32.95,10.31,22.42,29.57,34.63
18.97,16.31,21.65,"increment8Mpith[4]",50.74,49.62,51.86,11.19,26.76,47.42,53.98
