"","mean","sd","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$",26.8266372906581,5.10081210763522,23.7460691342543,30.1313563484758,14.6841542575618,37.7804394028082
"$\mu_{increment 1-2}$",-6.97664051395885,4.52480573682965,-9.94402889174208,-4.11931040238711,-17.2659921626079,3.92539052891231
"$\mu_{increment 2-3}$",-9.06512312972688,4.4504149915403,-12.0974094576812,-6.21843026622005,-18.1987470554915,2.36909298749649
"$\mu_{increment 3-4}$",-10.2535305047179,4.5298017273872,-13.215676562724,-7.5132500830199,-19.8650090406343,1.50726984705785
"$\mu_{increment 4-8}$",-10.8113735968472,4.80062228943654,-14.025447136629,-7.98510680960631,-20.5641520225907,1.33248601292187
"$\mu_{increment 8-pith}$",-11.8753259800235,5.18489330100869,-15.4083711953207,-8.60590101923619,-22.1753688643912,1.51315218749102
"$\mu_{\alphaSpring}$",-0.968438234256846,5.18606703788587,-4.19743535416217,2.04680067671175,-12.2799138310912,11.2073291842378
"$\mu_{\alphaSummer}$",-7.02880167092647,5.15300550271123,-10.3555859960527,-3.85988806929285,-18.4862585112898,5.55546901591825
"$\mu_{\alphaAutumn}$",5.08629690802095,5.18421715487343,1.66756308295575,8.27499778532975,-6.28861514128728,17.1486798617663
"$\mu_{\alphaWinter}$",23.7639247517168,5.36702536459003,20.2035909965261,26.938903439753,12.1146008039676,36.3747040866286
"$\mu_{\increment 1-2Spring}$",2.40997467452059,4.64937622436766,-0.577145796728407,5.43597908865243,-8.53139713051146,13.0389994486109
"$\mu_{\increment 1-2Summer}$",2.26659840054094,4.68172251849314,-0.668990154451222,5.32857905491297,-9.25228524844192,13.0136308129421
"$\mu_{\increment 1-2Autumn}$",-3.40151003112433,4.72672196680155,-6.31895608580155,-0.493889296741501,-14.7933658397658,7.24663378885916
"$\mu_{\increment 1-2Winter}$",-19.3626911115795,5.05696953676213,-22.5480787183148,-16.1020727083867,-31.857913940571,-8.43401776340034
"$\mu_{\increment 2-3Spring}$",0.161387829254261,4.61251822074648,-2.66317199840805,3.1914141971158,-11.4653589011537,10.0500613771361
"$\mu_{\increment 2-3Summer}$",5.29075481216789,4.55842756771802,2.53635396343471,8.31732630187297,-5.72597519781537,15.006324567995
"$\mu_{\increment 2-3Autumn}$",-6.27821814529596,4.65503922551664,-9.0993725904071,-3.23460395347734,-17.9896267530971,3.31115170213853
"$\mu_{\increment 2-3Winter}$",-21.9455656485393,4.93002923106984,-25.0599742491043,-18.5726489259566,-34.4748836619799,-12.0691173904737
"$\mu_{\increment 3-4Spring}$",-0.357516960373589,4.74701670339667,-3.18065252658988,2.74109548899957,-13.0166790761336,10.360510866659
"$\mu_{\increment 3-4Summer}$",5.19252998346008,4.709051282352,2.45890575987272,8.33156767222798,-6.6045765227942,15.8867551289901
"$\mu_{\increment 3-4Autumn}$",-5.26198803889239,4.6998288979373,-8.05786635281745,-2.12501322956574,-17.104815970461,4.75573777835096
"$\mu_{\increment 3-4Winter}$",-21.3164285273637,5.05432492184063,-24.4868003514695,-17.898655858278,-33.9302407543993,-10.6164707031828
"$\mu_{\increment 4-8Spring}$",1.13448833684395,4.9636443378682,-1.88471709135143,4.42227930055382,-11.4037639643794,11.3429188160212
"$\mu_{\increment 4-8Summer}$",4.55102292000946,4.97745702668075,1.5236234388081,7.80708327473616,-7.59508871709955,15.0864573717266
"$\mu_{\increment 4-8Autumn}$",-7.11227130600399,4.97412302454649,-10.1182482524761,-3.75029650235506,-19.4855534673707,3.01759988853771
"$\mu_{\increment 4-8Winter}$",-23.0657649664586,5.3054537954654,-26.3669227776438,-19.4229893565273,-36.2987234957619,-12.2366792392074
"$\mu_{\increment 8-pithSpring}$",-0.562023428490992,5.37114445890347,-4.06879791091783,3.18070630343464,-14.1021276146085,10.1819079638795
"$\mu_{\increment 8-pithSummer}$",5.39509485174333,5.28586639787187,2.1114946820629,9.08768072632075,-7.95445478640782,15.9796771352777
"$\mu_{\increment 8-pithAutumn}$",-7.12167009243376,5.40892791697084,-10.5887097248687,-3.2742568484514,-21.6741726665505,3.32018379741094
"$\mu_{\increment 8-pithWinter}$",-25.8037013268054,5.68371250073997,-29.4391838859915,-21.7785734235248,-39.7484058155397,-14.592764167345
