"","mean","sd","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$",35.7870788060226,7.41391170639436,31.3747722306152,40.3501878096638,17.5340848308974,53.4325443737903
"$\mu_{increment 1-2}$",-8.65590380483445,6.29236051201608,-12.8785886424714,-4.63942433853905,-21.8116880066649,7.24372756546081
"$\mu_{increment 2-3}$",-13.5873770155042,6.81682712339448,-18.1835477813616,-9.35207777458375,-27.2328041364203,3.68794120382559
"$\mu_{increment 3-4}$",-13.5299678681981,6.75674793425895,-18.1444369096831,-9.24996309857329,-27.4977098524458,3.23417002098586
"$\mu_{increment 4-8}$",-15.4496084607773,6.88247455153196,-20.1607707489561,-11.1876447166102,-28.9301977489865,1.69176203178705
"$\mu_{increment 8-pith}$",-16.8993183926954,7.26088873422908,-21.8981892461989,-12.3643079351049,-31.3972489135872,1.51601407992386
"$\mu_{\alphaSpring}$",-0.813199692607176,7.61876442093542,-5.65809038723904,3.78974865903151,-18.9758814896489,18.1269284090074
"$\mu_{\alphaSummer}$",1.79270175423246,7.61092080888216,-3.11181634537752,6.43150043683207,-16.2923115263582,21.3731375075511
"$\mu_{\alphaAutumn}$",31.1442769589306,7.84136740517538,26.1643560701811,35.9041181862908,13.3099690985294,50.5954833504002
"$\mu_{\alphaWinter}$",21.175537910287,7.83936607607178,16.1030082839979,26.1162625076024,2.66094520464189,39.5326615717798
"$\mu_{\increment 1-2Spring}$",2.44117884350967,6.5922986379149,-1.60995439149129,6.72726092663928,-13.5515110771559,16.4367184844263
"$\mu_{\increment 1-2Summer}$",-5.42591929025358,6.71120073392381,-9.47604194956047,-0.972241773574291,-21.607278337214,8.25127381083583
"$\mu_{\increment 1-2Autumn}$",-23.7593318634693,7.07148114654269,-28.2752173026234,-18.825134768314,-41.4058469084166,-9.58305875590006
"$\mu_{\increment 1-2Winter}$",-21.1187560471584,7.36208477538586,-25.8914220389841,-16.100140656,-38.8860182075076,-6.45336101034088
"$\mu_{\increment 2-3Spring}$",-4.11439601837134,7.19367882236118,-8.47470409798949,0.888515496720731,-22.9421609391836,10.0210224530576
"$\mu_{\increment 2-3Summer}$",-5.41081251284257,7.12745631927153,-9.78281723225266,-0.355069638842285,-24.5191256247618,8.3755153888985
"$\mu_{\increment 2-3Autumn}$",-36.3802053919321,7.73603006938196,-41.0892267859706,-30.9011502069861,-55.9622852308612,-20.8646839747691
"$\mu_{\increment 2-3Winter}$",-23.6141757958947,7.71519136548,-28.5931142954609,-18.2732168940426,-42.3510418617159,-8.04862528449926
"$\mu_{\increment 3-4Spring}$",-5.81624380747346,7.14732143535127,-10.2145995040548,-0.826244063532157,-23.3318946417722,8.67875145551087
"$\mu_{\increment 3-4Summer}$",-3.58875468248107,7.02075715154556,-8.01342201486593,1.27549709355012,-20.496546399841,10.6146672650311
"$\mu_{\increment 3-4Autumn}$",-36.5507473327682,7.71071966027434,-41.3678180065759,-31.4634249043324,-54.7214212741792,-20.1092323462453
"$\mu_{\increment 3-4Winter}$",-24.3938708251051,7.87723003496765,-29.5791205517242,-19.0474539374798,-42.5842822703883,-8.06464963327179
"$\mu_{\increment 4-8Spring}$",-3.12081302623297,7.2319362579612,-7.6747749306006,1.8918285287429,-21.4109830105355,11.761825081727
"$\mu_{\increment 4-8Summer}$",-8.00080526456232,7.37345428801052,-12.6693359923074,-2.94299323004786,-25.8713333605806,6.58862670820954
"$\mu_{\increment 4-8Autumn}$",-36.0109115141861,7.83244423833601,-41.1371885026753,-30.5470210936284,-54.906496271189,-19.4374610357874
"$\mu_{\increment 4-8Winter}$",-24.5766526991942,7.80529827559627,-29.5250304371792,-19.3333737583739,-43.3877376781208,-8.20997115524531
"$\mu_{\increment 8-pithSpring}$",-4.8148314272327,7.73479387438908,-9.44113009569608,0.522469624966461,-24.9497313953178,10.5735570366341
"$\mu_{\increment 8-pithSummer}$",-7.14464341456522,7.60908815110056,-12.0164301473615,-1.76186886685662,-25.3047520440585,7.900862297398
"$\mu_{\increment 8-pithAutumn}$",-36.1720021619147,8.44968799986317,-41.7579842088969,-30.4653777471955,-56.0414667330636,-19.0895063855332
"$\mu_{\increment 8-pithWinter}$",-26.4289777616673,8.41857359882049,-32.0453681505453,-20.4147738912328,-47.8113761952336,-9.84905776317681
