"","ADR","species","tag","month","year","tissue","stage","conc","method","biomass_kg","season","increment","wood"
"301","1113","QURU","104","January",2014,"stem","1cm",63,"total",94.3,"winter","0-1","ring"
"302","1114","QURU","104","January",2014,"stem","2cm",20.2,"total",87.6,"winter","1-2","ring"
"303","1115","QURU","107","January",2014,"stem","1cm",43.9,"total",94.3,"winter","0-1","ring"
"304","1116","QURU","107","January",2014,"stem","2cm",10.3,"total",87.6,"winter","1-2","ring"
"305","1117","QURU","109","January",2014,"stem","1cm",56,"total",104.7,"winter","0-1","ring"
"306","1118","QURU","109","January",2014,"stem","2cm",17.7,"total",97.7,"winter","1-2","ring"
"307","1119","QURU","115","January",2014,"stem","1cm",61.7,"total",53.5,"winter","0-1","ring"
"308","1120","QURU","115","January",2014,"stem","2cm",13.7,"total",47.9,"winter","1-2","ring"
"309","1121","QURU","117","January",2014,"stem","1cm",49.5,"total",50.7,"winter","0-1","ring"
"310","1122","QURU","117","January",2014,"stem","2cm",20,"total",45.2,"winter","1-2","ring"
"311","1123","QURU","118","January",2014,"stem","1cm",58.6,"total",66.8,"winter","0-1","ring"
"312","1124","QURU","118","January",2014,"stem","2cm",14.7,"total",60.8,"winter","1-2","ring"
"331","1143","FRAM","101","January",2014,"stem","1cm",110.3,"total",47.2,"winter","0-1","ring"
"332","1144","FRAM","101","January",2014,"stem","2cm",42.8,"total",42.6,"winter","1-2","ring"
"333","1145","FRAM","108","January",2014,"stem","1cm",47,"total",63.2,"winter","0-1","ring"
"334","1146","FRAM","108","January",2014,"stem","2cm",42.3,"total",58.1,"winter","1-2","ring"
"335","1147","FRAM","123","January",2014,"stem","1cm",60,"total",36,"winter","0-1","ring"
"336","1148","FRAM","123","January",2014,"stem","2cm",34.8,"total",31.8,"winter","1-2","ring"
"349","1161","QURU","104","July",2014,"stem","1cm",45.6,"total",94.3,"summer","0-1","ring"
"350","1162","QURU","104","July",2014,"stem","2cm",28.5,"total",87.6,"summer","1-2","ring"
"351","1163","QURU","107","July",2014,"stem","1cm",25.7,"total",94.3,"summer","0-1","ring"
"352","1164","QURU","107","July",2014,"stem","2cm",12.8,"total",87.6,"summer","1-2","ring"
"353","1165","QURU","109","July",2014,"stem","1cm",47.8,"total",104.7,"summer","0-1","ring"
